anomaly_label,anomaly_type,day_of_year,year,season,radius
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
-1,hot_spike,29.0,2021.0,summer,1.0
-1,hot_spike,30.0,2021.0,summer,1.0
-1,hot_spike,31.0,2021.0,summer,1.0
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
-1,cold_spike,200.0,2021.0,winter,0.0
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
-1,contextual,214.0,2021.0,winter,1.0
-1,contextual,215.0,2021.0,winter,1.0
-1,contextual,216.0,2021.0,winter,1.0
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
-1,energy_spike,260.0,2021.0,winter,0.0
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
-1,hot_spike,279.0,2021.0,spring,1.0
-1,hot_spike,280.0,2021.0,spring,1.0
-1,hot_spike,281.0,2021.0,spring,1.0
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
-1,contextual,39.0,2022.0,summer,1.0
-1,contextual,40.0,2022.0,summer,1.0
-1,contextual,41.0,2022.0,summer,1.0
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
-1,cold_spike,99.0,2022.0,autumn,1.0
-1,cold_spike,100.0,2022.0,autumn,1.0
-1,cold_spike,101.0,2022.0,autumn,1.0
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
-1,cold_spike,210.0,2022.0,winter,0.0
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
